Location,Layer,Orig_TOP,Orig_BOT,Orig_IBOUND,DEM_TOP,DEM_BOT,Rule,Res_TOP,Res_BOT,Res_IBOUND
East,0,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),-3.700000047683716,1.3839999437332153,0
East,1,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,2,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,3,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,4,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,5,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,6,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,7,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,8,1.3839999437332153,1.3839999437332153,0,-3.700000047683716,-3.700000047683716,Inactive (originally),1.3839999437332153,1.3839999437332153,0
East,9,1.3839999437332153,1.0,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),1.3839999437332153,1.0,0
East,10,1.0,0.5,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),1.0,0.5,0
East,11,0.5,0.0,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),0.5,0.0,0
East,12,0.0,-0.25,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),0.0,-0.25,0
East,13,-0.25,-0.5,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-0.25,-0.5,0
East,14,-0.5,-1.0,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-0.5,-1.0,0
East,15,-1.0,-1.5,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-1.0,-1.5,0
East,16,-1.5,-2.0,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-1.5,-2.0,0
East,17,-2.0,-2.5,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-2.0,-2.5,0
East,18,-2.5,-3.0,1,-3.700000047683716,-3.700000047683716,Deactivated (BOT_old > DEM),-2.5,-3.0,0
East,19,-3.0,-4.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-3.700000047683716,-4.0,1
East,20,-4.0,-5.0,1,-3.700000047683716,-3.700000047683716,"No change (TOP_new == TOP_old, upper active layer)",-4.0,-5.0,1
East,21,-5.0,-6.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-5.0,-6.0,1
East,22,-6.0,-7.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-6.0,-7.0,1
East,23,-7.0,-8.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-7.0,-8.0,1
East,24,-8.0,-9.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-8.0,-9.0,1
East,25,-9.0,-10.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-9.0,-10.0,1
East,26,-10.0,-20.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-10.0,-20.0,1
East,27,-20.0,-30.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-20.0,-30.0,1
East,28,-30.0,-40.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-30.0,-40.0,1
East,29,-40.0,-50.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-40.0,-50.0,1
East,30,-50.0,-70.0,1,-3.700000047683716,-3.700000047683716,No change (not upper active layer),-50.0,-70.0,1
